date,close,volume,open,high,low
9/22/2015,653.2,2714760,657.47,658.82,645.03
9/21/2015,666.98,1908296,665.51,669,658
9/18/2015,660.92,3622426,665.06,669.84,660.03
9/17/2015,671.67,2372191,667.49,681.99,665
9/16/2015,665.52,1311353,665.55,668.0699,662.2
9/15/2015,665.07,1776383,656.71,668.85,653.34
9/14/2015,652.47,1497577,655.63,655.92,649.501
9/11/2015,655.3,1744371,650.21,655.31,647.41
9/10/2015,651.08,1387402,643.9,654.9,641.7
9/9/2015,643.41,2046496,651.88,657.36,640.9
9/8/2015,643.88,1952855,641,645.04,632.9
9/4/2015,628.96,2021368,629.7,634.5,626.5
9/3/2015,637.05,1726636,647.93,651.25,633.8073
9/2/2015,644.91,1876564,638,645.057,630.64
9/1/2015,629.56,2572229,633.81,644.44,625.06
8/31/2015,647.82,1939177,654.34,664.41,646.35
8/28/2015,659.69,1937829,665.76,667,653.75
8/27/2015,667.96,2943990,671.99,673.9799,651.1
8/26/2015,659.74,4292376,643.1,662.48,630.37
8/25/2015,612.47,3565971,646.468,647,611.67
8/24/2015,618.11,6472137,600.6,644.33,593.09
8/21/2015,644.03,4525625,671.04,672.89,643.104
8/20/2015,679.48,2885476,689.1,696.16,675.2801
8/19/2015,694.04,2507033,690.11,700.2,686.8
8/18/2015,688.73,1385267,691.07,695.7568,685.32
8/17/2015,694.11,1231922,688.04,694.74,683.06
8/14/2015,689.37,1379730,684.04,692.26,682.9
8/13/2015,686.51,1812741,689.2,694.03,682.18
8/12/2015,691.47,2926164,694.49,696,680.51
8/11/2015,690.3,5472566,699.58,704,684.32
8/10/2015,663.14,1587541,667.09,671.62,660.23
8/7/2015,664.39,1376441,667.78,668.795,658.87
8/6/2015,670.15,2031876,673.99,674.75,660.73
8/5/2015,673.29,1821862,665.75,679.91,665.5827
8/4/2015,661.28,1306378,664.34,668,660.51
8/3/2015,664.72,1561711,657.66,666.67,657.66
7/31/2015,657.5,1744458,664.7,664.9999,657.2
7/30/2015,664.56,1979981,657.44,668.05,651.69
7/29/2015,661.43,1835632,662.26,663.33,652.84
7/28/2015,659.66,1718071,661.76,664.1,653.41
7/27/2015,658.27,2917862,651.57,667.07,651.55
7/24/2015,654.77,4127302,676.77,677.79,653.18
7/23/2015,674.73,3738692,691.85,696.07,671.59
7/22/2015,695.1,4132750,694.02,713.33,691.62
7/21/2015,695.35,3764433,684.88,705.6,684.15
7/20/2015,692.84,5116327,688.98,697.8,681.77
7/17/2015,699.62,12846880,680,703,678
7/16/2015,601.78,5401450,589.5,604.5,587.92
7/15/2015,583.96,2067590,583.74,588.69,580.21
7/14/2015,584.18,3710928,574.5,589.7087,574.17
7/13/2015,571.73,2085866,559.51,572.85,558.7
7/10/2015,556.11,2169406,553.71,559.29,552
7/9/2015,544.65,1485579,548.65,548.88,544.62
7/8/2015,541.7,1380910,545.6,548.28,541.2
7/7/2015,550.03,1678926,547.43,551,539.85
7/6/2015,545.62,1277899,542.25,548.58,542.095
7/2/2015,547.34,1406198,544.74,548,543.57
7/1/2015,543.3,1536068,543.66,545.81,539.76
6/30/2015,540.04,1724359,545.09,545.9,539.54
6/29/2015,541.25,1880383,546.75,550.9,540.24
6/26/2015,553.06,2183443,559.71,560,551.85
6/25/2015,557.95,1335133,560.3,563.14,557.455
6/24/2015,558.57,1442149,562.48,562.64,556.81
6/23/2015,563.39,1568936,559.79,564.9,557.15
6/22/2015,559.68,1735267,559.41,565.61,558.91
